iter	Passed	Remaining
843	12174	59947
844	12186	59920
845	12198	59897
846	12211	59873
847	12223	59847
848	12236	59826
849	12248	59801
850	12261	59781
851	12274	59756
852	12286	59734
853	12299	59709
854	12311	59685
855	12323	59659
856	12336	59636
857	12348	59610
858	12361	59589
859	12372	59561
860	12385	59541
861	12397	59513
862	12409	59486
863	12423	59470
864	12438	59461
865	12454	59452
866	12467	59433
867	12479	59407
868	12492	59383
869	12504	59361
870	12518	59344
871	12531	59323
872	12545	59306
873	12558	59284
874	12570	59261
875	12581	59232
876	12595	59212
877	12607	59191
878	12620	59168
879	12633	59145
880	12645	59124
881	12658	59101
882	12670	59077
883	12683	59054
884	12696	59035
885	12710	59017
886	12721	58990
887	12734	58969
888	12746	58944
889	12758	58919
890	12771	58899
891	12784	58878
892	12797	58855
893	12810	58834
894	12823	58814
895	12835	58791
896	12849	58773
897	12861	58751
898	12874	58730
899	12887	58710
900	12899	58682
901	12911	58659
902	12923	58637
903	12936	58615
904	12948	58589
905	12961	58569
906	12974	58549
907	12986	58523
908	12998	58502
909	13011	58480
910	13023	58455
911	13035	58430
912	13048	58408
913	13060	58384
914	13072	58362
915	13084	58338
916	13097	58318
917	13109	58295
918	13122	58271
919	13134	58249
920	13147	58226
921	13159	58203
922	13172	58183
923	13184	58160
924	13197	58141
925	13211	58124
926	13225	58108
927	13245	58121
928	13261	58115
929	13275	58097
930	13288	58077
931	13301	58059
932	13314	58040
933	13328	58021
934	13339	57996
935	13351	57972
936	13363	57946
937	13376	57928
938	13389	57907
939	13401	57883
940	13413	57858
941	13429	57854
942	13444	57840
943	13457	57822
944	13471	57804
945	13483	57780
946	13495	57756
947	13507	57736
948	13520	57713
949	13531	57688
950	13543	57665
951	13555	57641
952	13567	57616
953	13580	57594
954	13592	57571
955	13604	57546
956	13615	57522
957	13628	57502
958	13641	57483
959	13654	57460
960	13665	57436
961	13677	57413
962	13690	57393
963	13703	57371
964	13715	57348
965	13727	57327
966	13740	57306
967	13753	57286
968	13766	57268
969	13778	57243
970	13791	57224
971	13803	57203
972	13816	57183
973	13829	57163
974	13842	57145
975	13858	57136
976	13873	57126
977	13889	57118
978	13902	57101
979	13917	57089
980	13931	57073
981	13948	57071
982	13962	57057
983	13977	57044
984	13990	57027
985	14003	57008
986	14016	56987
987	14030	56972
988	14045	56964
989	14060	56953
990	14074	56937
991	14088	56923
992	14102	56905
993	14116	56893
994	14132	56883
995	14147	56874
996	14161	56860
997	14177	56850
998	14191	56836
999	14204	56817
1000	14217	56798
1001	14230	56779
1002	14242	56757
1003	14255	56738
1004	14268	56717
1005	14280	56694
1006	14292	56673
1007	14304	56650
1008	14316	56626
1009	14328	56604
1010	14341	56587
1011	14353	56564
1012	14366	56542
1013	14376	56514
1014	14389	56495
1015	14400	56469
1016	14417	56464
1017	14434	56460
1018	14451	56459
1019	14464	56440
1020	14476	56416
1021	14489	56398
1022	14502	56379
1023	14514	56357
1024	14526	56335
1025	14538	56310
1026	14549	56286
1027	14562	56265
1028	14574	56245
1029	14587	56226
1030	14601	56212
1031	14613	56188
1032	14625	56164
1033	14636	56140
1034	14648	56115
1035	14660	56095
1036	14672	56073
1037	14685	56053
1038	14697	56031
1039	14710	56012
1040	14725	56002
1041	14740	55992
1042	14755	55982
1043	14771	55972
1044	14788	55968
1045	14803	55958
1046	14819	55951
1047	14834	55939
1048	14848	55926
1049	14866	55926
1050	14880	55911
1051	14892	55891
1052	14906	55875
1053	14920	55860
1054	14933	55841
1055	14947	55827
1056	14964	55824
1057	14978	55808
1058	14992	55794
1059	15006	55777
1060	15018	55757
1061	15032	55741
1062	15045	55722
1063	15058	55706
1064	15072	55691
1065	15084	55669
1066	15098	55652
1067	15111	55636
1068	15126	55623
1069	15141	55614
1070	15154	55594
1071	15167	55576
1072	15179	55555
1073	15192	55535
1074	15205	55517
1075	15217	55496
1076	15229	55474
1077	15242	55455
1078	15255	55438
1079	15267	55416
1080	15279	55395
1081	15292	55375
1082	15304	55354
1083	15317	55333
1084	15329	55312
1085	15341	55291
1086	15353	55271
1087	15367	55255
1088	15379	55234
1089	15391	55210
1090	15407	55204
1091	15422	55192
1092	15435	55175
1093	15447	55152
1094	15459	55132
1095	15471	55111
1096	15483	55090
1097	15496	55069
1098	15509	55051
1099	15520	55026
1100	15532	55004
1101	15544	54983
1102	15556	54961
1103	15568	54939
1104	15580	54918
1105	15592	54896
1106	15608	54890
1107	15621	54872
1108	15634	54853
1109	15645	54830
1110	15658	54811
1111	15670	54791
1112	15682	54767
1113	15694	54748
1114	15706	54727
1115	15718	54706
1116	15730	54684
1117	15743	54664
1118	15754	54640
1119	15767	54621
1120	15778	54599
1121	15790	54578
1122	15802	54557
1123	15814	54533
1124	15825	54511
1125	15838	54492
1126	15850	54470
1127	15862	54448
1128	15874	54427
1129	15885	54405
1130	15897	54382
1131	15909	54361
1132	15920	54338
1133	15932	54316
1134	15945	54297
1135	15956	54275
1136	15969	54255
1137	15982	54238
1138	15994	54219
1139	16007	54201
1140	16018	54178
1141	16032	54160
1142	16043	54138
1143	16055	54116
1144	16067	54096
1145	16080	54077
1146	16092	54057
1147	16105	54039
1148	16117	54020
1149	16130	54002
1150	16142	53982
1151	16155	53962
1152	16167	53942
1153	16180	53925
1154	16191	53900
1155	16203	53881
1156	16216	53864
1157	16229	53845
1158	16240	53823
1159	16254	53806
1160	16267	53789
1161	16279	53769
1162	16291	53749
1163	16303	53729
1164	16315	53707
1165	16328	53689
1166	16340	53669
1167	16352	53650
1168	16364	53630
1169	16378	53613
1170	16400	53626
1171	16414	53614
1172	16427	53595
1173	16439	53574
1174	16451	53553
1175	16463	53533
1176	16475	53513
1177	16488	53495
1178	16500	53477
1179	16513	53459
1180	16525	53439
1181	16538	53421
1182	16550	53399
1183	16561	53377
1184	16574	53359
1185	16587	53342
1186	16599	53323
1187	16612	53303
1188	16624	53286
1189	16636	53264
1190	16648	53242
1191	16659	53221
1192	16670	53198
1193	16683	53181
1194	16696	53162
1195	16708	53143
1196	16721	53125
1197	16733	53105
1198	16745	53085
1199	16758	53067
1200	16769	53044
1201	16782	53026
1202	16793	53005
1203	16806	52988
1204	16819	52971
1205	16832	52952
1206	16845	52935
1207	16857	52916
1208	16871	52903
1209	16883	52882
1210	16896	52865
1211	16907	52844
1212	16919	52823
1213	16931	52803
1214	16943	52781
1215	16955	52761
1216	16967	52744
1217	16979	52724
1218	16992	52704
1219	17004	52687
1220	17017	52670
1221	17030	52651
1222	17041	52630
1223	17053	52610
1224	17067	52594
1225	17079	52577
1226	17093	52560
1227	17107	52548
1228	17120	52532
